StartTime: 2020-02-26 21:34:08.917
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°) 
0x50	21:37:59.700	-0.9927	0.0059	1.9990	0.3052	-0.8545	-0.2441	0.2362	26.5485	2.6147	-28.0600 
0x50	21:37:59.720	-0.9976	0.0078	1.9995	0.2441	-0.1831	-0.6104	0.2417	26.5375	2.6147	-28.0800 
0x50	21:37:59.745	-0.9980	0.0054	1.9995	0.3052	-0.4883	-0.1831	0.2362	26.5430	2.6147	-28.0600 
0x50	21:37:59.745	-0.9980	0.0054	1.9995	0.3052	-0.4883	-0.1831	0.2472	26.5210	2.6147	-28.0600 
0x50	21:37:59.793	-0.9966	0.0083	2.0000	0.4272	-0.4272	-0.3052	0.2472	26.5210	2.6147	-28.0500 
0x50	21:37:59.804	-0.9980	0.0068	2.0000	0.4883	0.0000	-0.7324	0.2472	26.5210	2.6147	-28.0400 
0x50	21:37:59.824	-0.9990	0.0093	2.0005	0.4883	0.0000	-0.7324	0.2472	26.5210	2.6147	-28.0500 
0x50	21:37:59.845	-0.9956	0.0122	2.0000	0.1831	0.0000	-0.1831	0.2527	26.5210	2.6147	-28.0500 
0x50	21:37:59.845	-0.9956	0.0122	2.0000	0.1831	0.0000	-0.1831	0.2582	26.5155	2.6147	-28.0500 
0x50	21:37:59.869	-1.0029	0.0088	2.0000	0.0000	0.0000	0.0000	0.2582	26.5155	2.6147	-28.0600 
0x50	21:37:59.895	-1.0005	0.0103	2.0000	0.0000	-0.2441	0.0000	0.2582	26.5155	2.6147	-28.0700 
0x50	21:37:59.924	-0.9961	0.0107	2.0000	-0.1831	-0.1831	0.3052	0.2582	26.5100	2.6147	-28.0400 
0x50	21:37:59.989	-0.9985	0.0059	1.9995	0.0000	0.0000	0.0000	0.2527	26.5100	2.6147	-28.0600 
0x50	21:37:59.989	-0.9985	0.0059	1.9995	0.0000	0.0000	0.0000	0.2472	26.5155	2.6147	-28.0600 
0x50	21:37:59.989	-0.9976	0.0068	2.0005	0.2441	0.1831	-0.4883	0.2472	26.5155	2.6147	-28.0800 
0x50	21:37:59.995	-1.0034	0.0083	2.0010	0.4272	0.3052	-0.8545	0.2527	26.5210	2.6147	-28.1100 
0x50	21:38:00.020	-1.0083	0.0103	2.0010	0.5493	-0.3662	-0.4272	0.2527	26.5210	2.6147	-28.1100 
0x50	21:38:00.045	-0.9888	0.0117	1.9995	0.0000	-1.0376	0.5493	0.2637	26.5045	2.6147	-28.0800 
0x50	21:38:00.045	-0.9888	0.0117	1.9995	0.0000	-1.0376	0.5493	0.2692	26.4771	2.6147	-28.0800 
0x50	21:38:00.069	-0.9961	0.0054	1.9990	0.0000	0.0000	0.0000	0.2582	26.4716	2.6147	-28.0700 
0x50	21:38:00.100	-0.9990	0.0059	2.0000	0.0000	0.0000	0.0000	0.2582	26.4716	2.6147	-28.0700 
0x50	21:38:00.120	-0.9966	0.0088	2.0005	0.1831	-0.2441	-0.3052	0.2582	26.4661	2.6147	-28.0400 
0x50	21:38:00.120	-0.9966	0.0088	2.0005	0.0000	0.0000	-0.3662	0.2582	26.4661	2.6147	-28.0400 
0x50	21:38:00.145	-1.0000	0.0073	2.0005	-0.1831	-0.1831	0.0000	0.2527	26.4661	2.6147	-28.0400 
0x50	21:38:00.205	-0.9985	0.0054	1.9995	0.1831	-0.6104	-0.1831	0.2472	26.4496	2.6147	-28.0600 
0x50	21:38:00.205	-0.9961	0.0063	1.9995	0.1831	-0.6104	-0.1831	0.2472	26.4496	2.6147	-28.0800 
0x50	21:38:00.219	-0.9932	0.0078	2.0005	0.2441	-0.3052	-0.3662	0.2527	26.4386	2.6147	-28.0800 
0x50	21:38:00.245	-1.0000	0.0093	2.0005	0.2441	0.0000	-0.4883	0.2527	26.4386	2.6147	-28.0600 
0x50	21:38:00.245	-1.0000	0.0093	2.0005	0.1831	-0.1831	-0.3052	0.2527	26.4386	2.6147	-28.0600 
0x50	21:38:00.295	-0.9966	0.0073	2.0020	0.0000	-0.9155	0.2441	0.2527	26.4166	2.6147	-28.0600 
0x50	21:38:00.295	-0.9966	0.0073	2.0020	0.0000	-0.9155	0.2441	0.2527	26.4166	2.6147	-28.0600 
0x50	21:38:00.329	-0.9980	0.0044	2.0005	0.1831	-0.9766	0.0000	0.2527	26.3947	2.6147	-28.0500 
0x50	21:38:00.345	-0.9956	0.0093	2.0015	0.6714	-1.1597	-0.3052	0.2582	26.3782	2.6147	-28.0400 
0x50	21:38:00.416	-0.9927	0.0142	2.0020	0.3052	-0.4272	-0.6104	0.2692	26.3562	2.6147	-28.0800 
0x50	21:38:00.416	-0.9927	0.0142	2.0020	0.3052	-0.4272	-0.6104	0.2692	26.3397	2.6147	-28.0800 
0x50	21:38:00.416	-1.0034	0.0073	2.0029	0.0000	-0.4883	-0.6104	0.2692	26.3397	2.6147	-28.0600 
0x50	21:38:00.417	-1.0049	0.0034	2.0034	0.3052	-1.4038	-1.0376	0.2582	26.3232	2.6147	-28.0500 
0x50	21:38:00.447	-1.0005	0.0029	2.0039	1.2817	-2.1973	-1.8311	0.2582	26.2903	2.6147	-28.0500 
0x50	21:38:00.468	-1.0039	0.0044	2.0122	3.7231	-5.0659	-3.2349	0.2692	26.2408	2.5598	-28.0600 
0x50	21:38:00.468	-1.0039	0.0044	2.0122	3.7231	-5.0659	-3.2349	0.2966	26.1530	2.4829	-28.0600 
0x50	21:38:00.489	-1.0093	0.0054	2.0166	4.6997	-6.9580	-2.3193	0.4779	25.8618	2.4390	-28.0400 
0x50	21:38:00.516	-1.0601	0.0239	2.0400	6.1035	-11.6577	2.0752	0.4779	25.8618	2.4390	-28.0500 
0x50	21:38:00.573	-1.0122	0.0142	1.9336	4.9438	-19.3481	-2.0752	0.5878	25.5487	2.4445	-28.0400 
0x50	21:38:00.573	-0.8403	-0.0186	1.9512	9.7046	-7.5684	-2.9907	0.6427	25.1587	2.3291	-28.0500 
0x50	21:38:00.573	-0.8403	-0.0186	1.9512	9.7046	-7.5684	-2.9907	0.9503	24.9445	2.1918	-28.0500 
0x50	21:38:00.589	-0.8198	-0.0137	1.9473	13.2446	7.1411	-2.8687	0.9503	24.9445	2.1918	-28.0500 
0x50	21:38:00.615	-0.8301	-0.0078	1.9775	17.7612	23.3765	-3.3569	1.2250	25.2850	2.1259	-28.0800 
0x50	21:38:00.644	-1.0342	0.0142	2.0347	25.5737	42.4805	0.3052	1.5985	25.9277	2.0874	-28.0400 
0x50	21:38:00.644	-1.0342	0.0142	2.0347	25.5737	42.4805	0.3052	2.0654	26.7627	2.1094	-28.0400 
0x50	21:38:00.665	-1.1104	0.0254	1.9863	29.1748	37.5977	1.4038	2.6202	27.5757	2.1698	-28.0600 
0x50	21:38:00.689	-1.1587	0.0361	1.9829	32.9590	26.6724	2.5024	3.2574	28.2019	2.2522	-28.0900 
0x50	21:38:00.715	-1.1802	0.0444	1.9668	36.9873	12.2681	3.3569	4.7516	28.6194	2.4280	-28.0900 
0x50	21:38:00.769	-1.1587	0.0586	1.9722	41.5649	-3.7231	3.6621	4.7516	28.6194	2.4280	-28.0800 
0x50	21:38:00.769	-1.1587	0.0586	1.9722	47.4243	-19.5923	3.0518	5.6140	28.3447	2.4719	-28.0800 
0x50	21:38:00.770	-1.0708	0.0610	1.9995	63.1104	-34.9121	1.3428	7.6465	27.0758	2.3895	-28.0700 
0x50	21:38:00.790	-0.9731	0.0610	1.9712	63.1104	-34.9121	1.3428	7.6465	27.0758	2.3895	-28.0700 
0x50	21:38:00.821	-0.9077	0.0630	1.9419	73.7915	-29.8462	0.0000	8.8879	26.4276	2.3016	-28.0600 
0x50	21:38:00.841	-0.8730	0.0786	1.8955	86.7920	-19.5313	-2.9907	10.3381	25.9607	2.1753	-28.0500 
0x50	21:38:00.841	-0.8730	0.0786	1.8955	102.5391	-7.3242	-4.1504	12.0630	25.7520	2.0435	-28.0500 
0x50	21:38:00.865	-0.9165	0.0894	1.8813	121.5820	3.2959	-3.7842	14.1394	25.7794	1.9611	-28.0700 
0x50	21:38:00.889	-0.9824	0.1021	1.8525	171.0205	7.0801	0.0000	19.6271	26.1914	1.9830	-28.0700 
0x50	21:38:00.915	-1.0391	0.1147	1.7886	171.0205	7.0801	0.0000	19.6271	26.1914	1.9830	-28.0300 
0x50	21:38:00.942	-1.0654	0.1274	1.7051	202.7588	0.5493	2.5635	23.1757	26.3287	2.0380	-28.0300 
0x50	21:38:00.965	-1.0645	0.1426	1.5889	240.4785	-8.3618	7.0190	27.3834	26.3123	2.0984	-28.0300 
0x50	21:38:01.014	-1.0259	0.1748	1.2900	337.7075	-25.0854	12.3901	38.8367	25.6036	2.0929	-28.0600 
0x50	21:38:01.015	-1.0259	0.1748	1.2900	337.7075	-25.0854	12.3901	38.8367	25.6036	2.0929	-28.0600 
0x50	21:38:01.025	-1.0181	0.1958	1.0928	396.0571	-31.7383	6.1035	46.3293	25.0433	1.7908	-28.0600 
0x50	21:38:01.045	-0.9937	3.4248	0.5220	567.8101	-41.0156	-47.6685	54.9152	24.5819	1.1755	-28.0900 
0x50	21:38:01.045	-0.9937	3.4248	0.5220	567.8101	-41.0156	-47.6685	74.7949	25.3455	-1.0602	-28.0900 
0x50	21:38:01.065	-0.8481	2.1465	0.5420	512.5122	-33.2031	-58.3496	74.7949	25.3455	-1.0602	-28.0700 
0x50	21:38:01.089	-0.8813	1.3130	0.7090	413.5742	5.0659	-22.7051	83.4851	25.7465	-1.2854	-28.0600 
0x50	21:38:01.115	-0.9341	0.6890	0.8237	325.5005	24.2920	48.9502	90.5713	25.0269	-0.7745	-28.0800 
0x50	21:38:01.139	-0.9326	0.4155	0.6597	252.0752	36.8652	116.9434	96.6632	23.5052	-0.1758	-28.0400 
0x50	21:38:01.139	-0.9326	0.4155	0.6597	252.0752	36.8652	116.9434	102.0575	21.4233	0.2582	-28.0400 
0x50	21:38:01.227	-1.3252	0.8262	0.8574	165.3442	68.7866	77.5146	106.1554	19.2426	1.1316	-28.0500 
0x50	21:38:01.227	-1.1392	0.4224	0.8516	-54.5654	62.5000	-28.5645	103.8483	20.8960	4.3561	-28.0500 
0x50	21:38:01.227	-0.7324	1.2173	0.6353	-205.5664	60.5469	-146.0571	103.8483	20.8960	4.3561	-28.0400 
0x50	21:38:01.239	-0.7793	1.2036	0.7383	-345.5200	68.5425	-189.2090	98.4705	24.2468	6.6742	-28.0300 
0x50	21:38:01.265	-0.8486	1.0479	0.7764	-227.6001	17.5781	155.9448	90.8679	27.1967	8.2947	-28.0300 
0x50	21:38:01.265	-0.8486	1.0479	0.7764	-227.6001	17.5781	155.9448	83.4576	20.7532	9.6075	-28.0300 
0x50	21:38:01.289	-1.1831	1.0361	1.0864	-96.1914	5.7983	274.4751	83.4576	20.7532	9.6075	-28.0400 
0x50	21:38:01.336	-0.9912	0.9331	1.3472	-5.9204	30.9448	192.5049	83.3368	16.4850	10.6238	-28.0300 
0x50	21:38:01.339	-0.7764	0.8677	1.1372	32.2876	85.0220	2.8687	84.1663	14.3481	12.0630	-28.0400 
